Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,quality
11.3,0.59,27.0,0.24,0.99394,7
10.1,0.62,70.0,0.32,0.99588,5
11.6,0.76,52.0,0.53,0.9971,7
9.3,0.61,84.0,0.685,0.9964,5
10.0,0.57,73.0,0.6,0.99654,5
10.4,0.6,61.0,0.48,0.9953,5
9.0,0.55,37.0,1.0,0.99685,6
9.2,0.48,34.0,0.49,0.9967,6
8.5,0.65,90.0,0.38,0.99914,5
9.5,0.61,112.0,0.565,0.9998,5
9.6,0.46,89.0,0.53,0.99678,6
9.5,0.39,12.0,0.655,0.99587,5
11.5,0.57,9.0,0.3,0.9948,7
10.1,0.56,58.0,0.56,0.9991,6
12.3,0.51,278.0,0.3,0.99316,7
10.7,0.78,32.0,0.57,1.0006,6
10.2,0.8,46.0,0.27,0.9993,6
9.5,0.5,61.0,0.35,0.9982,5
9.7,0.53,85.0,0.31,0.9971,5
11.5,0.6,88.0,1.01,0.99357,6
9.1,0.33,8.0,0.885,0.9972,4
11.2,0.69,30.0,0.19,0.994,6
10.0,0.68,89.0,0.43,0.9984,5
12.5,0.52,17.0,0.27,0.99484,7
9.5,0.52,11.0,0.67,0.9962,5
13.0,0.77,77.0,0.53,1.0018,5
10.9,0.64,11.0,0.91,0.99592,4
11.0,0.63,55.0,0.64,0.9962,5
12.5,0.71,10.0,0.25,0.99386,7
10.1,0.56,58.0,0.56,0.9991,6
10.3,0.63,31.0,0.66,0.99629,5
10.8,0.81,47.0,0.41,1.0014,6
10.5,0.53,52.0,0.48,0.9982,6
12.5,0.59,35.0,0.31,0.99356,7
10.5,0.63,62.0,0.4,0.9966,6
9.5,0.45,26.0,0.5,0.99448,5
9.6,0.45,25.0,0.83,0.99534,5
9.5,0.59,70.0,0.38,0.99685,6
9.5,0.78,49.0,0.5,0.9958,5
11.0,0.85,44.0,0.36,0.99534,7
9.5,0.68,11.0,0.57,0.997,5
10.2,1.36,103.0,0.755,0.9969,6
9.5,0.53,30.0,0.29,0.9968,6
10.1,0.52,80.0,0.75,0.9958,5
12.4,0.88,48.0,0.33,0.99528,7
11.0,0.54,45.0,0.6,0.99336,5
9.2,0.42,85.0,0.81,0.99668,5
9.6,0.54,49.0,0.26,0.9972,5
8.7,0.87,25.0,0.24,0.9967,6
10.7,0.76,80.0,0.33,1.0002,7
13.0,0.85,93.0,0.835,0.9924,7
9.2,0.93,148.0,0.62,0.9986,5
9.6,0.78,15.0,0.32,0.9994,5
12.9,0.82,70.0,0.52,0.99418,6
11.8,0.51,8.0,0.27,0.99471,6
11.0,0.58,15.0,0.55,0.99514,7
9.2,0.69,50.0,0.49,1.0015,6
9.2,0.61,63.0,0.62,0.996,5
11.8,0.53,31.0,0.605,0.995,6
9.6,0.66,38.0,0.51,0.998,6
9.2,0.58,39.0,0.645,0.99675,6
11.8,0.72,72.0,0.3,0.99543,6
12.2,0.6,40.0,0.4,0.99414,6
10.5,0.8,33.0,0.31,0.99965,7
11.4,0.43,31.0,1.09,0.9948,4
9.2,0.56,56.0,0.91,0.99672,5
9.3,0.52,38.0,0.52,0.9955,5
11.8,0.74,15.0,0.28,0.99524,7
9.5,0.58,102.0,0.35,0.9964,5
10.2,0.66,28.0,0.705,0.99631,5
9.2,0.95,98.0,0.42,1.001,5
9.4,0.45,33.0,0.69,0.9992,5
12.3,0.55,9.0,0.32,0.99506,6
11.5,0.62,14.0,0.5,0.99502,6
11.1,0.74,23.0,0.645,1.00315,5
11.0,0.85,44.0,0.36,0.99534,7
10.1,0.54,20.0,0.695,0.99546,5
10.7,0.67,61.0,0.545,0.9965,6
9.0,0.6,15.0,0.7,0.9991,6
9.4,0.54,114.0,0.58,0.9973,6
9.6,0.63,10.0,0.42,0.9971,5
9.2,0.53,43.0,0.675,0.9976,4
11.8,0.51,46.0,0.62,0.99332,6
11.2,0.74,22.0,0.33,0.9998,7
9.1,1.06,26.0,0.37,0.9979,6
10.0,0.73,42.0,0.615,1.0022,7
10.3,1.2,23.0,0.66,0.9968,5
10.2,0.61,50.0,0.61,0.9972,6
12.8,0.65,24.0,0.37,0.9958,6
9.9,0.52,131.0,0.6,0.99622,5
10.2,0.66,54.0,0.4,1.0,5
10.4,0.56,22.0,0.5,0.9959,6
9.3,0.73,19.0,0.665,0.9974,5
10.1,0.7,31.0,0.685,0.9984,6
11.2,0.6,12.0,1.115,0.9958,4
9.3,0.79,64.0,0.63,0.9969,5
10.2,0.6,52.0,0.69,0.99608,6
11.3,0.58,11.0,0.58,0.99562,6
10.2,0.7,17.0,0.46,1.0006,5
14.0,0.75,60.0,0.38,0.99084,6
11.9,0.69,41.0,0.44,0.99638,6
12.6,0.52,16.0,0.7,0.99334,5
9.5,0.5,61.0,0.35,0.9982,5
13.2,0.57,11.0,0.38,0.99577,6
10.5,0.92,16.0,0.59,0.9962,7
11.2,0.81,19.0,0.37,0.9955,7
9.4,0.6,45.0,0.57,0.99676,6
9.5,0.62,98.0,0.6,0.99938,5
10.8,0.61,35.0,0.39,0.9994,6
12.5,0.66,41.0,0.36,0.998,6
9.3,0.4,60.0,0.61,0.99494,5
11.0,0.72,53.0,0.66,0.9993,6
9.4,0.58,58.0,0.4,0.9965,5
9.5,0.58,94.0,0.58,0.99686,6
9.0,0.69,24.0,0.575,1.0,5
10.1,0.44,28.0,0.34,0.99464,5
10.0,0.58,45.0,0.4,0.9959,5
12.8,0.78,102.0,0.66,0.99414,6
11.0,0.91,37.0,0.35,1.0003,6
9.5,0.67,25.0,0.65,0.9972,6
11.7,0.85,24.0,0.3,0.99523,7
9.5,0.54,21.0,0.67,0.996,5
9.8,0.67,27.0,0.69,0.99712,5
9.9,0.52,49.0,0.38,0.99625,6
9.5,0.62,42.0,0.5,0.9971,5
12.3,0.56,48.0,0.84,0.9952,7
9.4,0.49,121.0,0.6,0.9982,5
10.3,0.87,28.0,0.22,0.999,6
9.8,0.72,61.0,0.87,1.00025,4
12.5,0.59,46.0,0.74,0.99258,6
10.3,0.54,160.0,0.29,0.99721,6
13.1,0.72,17.0,0.54,0.99235,8
8.4,0.79,15.0,0.31,1.0008,6
9.8,0.58,66.0,0.45,0.99726,5
9.5,0.61,126.0,0.63,0.9969,5
12.2,0.6,46.0,0.4,0.9943,6
9.8,0.57,54.0,0.735,0.9966,5
11.8,0.65,10.0,0.38,0.99664,7
11.0,0.86,48.0,0.34,0.99554,6
12.3,0.54,17.0,0.23,0.99376,6
9.6,0.5,32.0,0.43,0.9986,5
9.7,0.57,71.0,0.6,0.9997,5
11.3,0.78,47.0,0.26,0.99594,7
8.7,0.75,55.0,0.42,0.9988,6
9.3,0.6,31.0,0.54,0.9976,6
9.7,0.54,44.0,0.49,0.9957,5
11.5,0.7,59.0,0.61,0.99541,6
10.3,0.76,49.0,0.45,0.9997,6
13.0,0.37,7.0,0.6,0.99286,5
11.9,0.76,21.0,0.12,0.99552,7
10.4,0.51,31.0,0.54,0.99589,6
10.7,0.58,37.0,0.62,0.9972,6
10.1,0.53,69.0,0.36,0.99556,6
10.0,0.63,18.0,0.58,0.998,6
10.0,0.47,17.0,0.67,0.9976,5
11.3,0.63,33.0,0.64,0.99538,6
9.5,0.45,77.5,0.63,0.99558,5
9.8,0.53,38.0,0.6,0.99616,5
11.2,0.69,27.0,0.27,0.99546,6
9.7,0.54,14.0,0.765,0.998,4
11.6,0.74,81.0,0.69,1.0002,6
11.9,0.59,165.0,0.21,0.9912,6
9.8,0.75,14.0,0.39,0.9982,6
9.4,0.47,23.0,0.685,0.99694,5
9.9,0.49,54.0,1.035,0.999,5
9.8,0.99,133.0,0.39,0.9979,5
11.6,0.82,35.0,0.55,0.99314,6
10.7,0.62,46.0,0.5,0.9985,6
9.1,0.62,77.0,0.64,0.99747,6
10.1,0.97,23.0,0.18,0.9996,6
11.8,0.56,20.0,0.67,0.99488,4
11.9,0.76,21.0,0.12,0.99552,7
9.7,0.6,87.0,0.61,0.99745,6
9.0,0.58,38.0,0.63,0.99675,6
9.2,0.66,15.0,0.34,0.9988,6
11.3,0.6,32.0,0.56,0.99402,5
11.6,0.63,32.0,0.52,0.99646,6
9.8,1.36,29.0,0.28,0.9997,7
9.2,0.48,73.0,0.57,0.99669,5
9.4,0.67,95.0,0.44,0.9966,5
12.0,0.77,59.0,0.42,0.99617,6
12.0,0.99,24.0,0.44,0.99745,7
11.4,0.58,13.0,0.54,0.9942,5
10.0,0.59,54.0,0.59,0.9975,5
10.0,0.8,43.0,0.415,1.0014,6
9.4,0.55,76.0,0.74,0.99878,5
12.0,0.63,25.0,0.49,0.99388,6
9.7,0.6,22.0,0.685,0.99606,5
10.3,0.6,36.0,0.57,0.99564,6
10.5,0.6,20.0,0.29,0.99603,5
9.2,0.86,12.0,0.53,0.99702,5
12.4,0.54,31.0,0.16,0.99328,6
9.5,0.49,18.0,0.39,1.0004,5
9.0,0.77,95.0,0.54,1.00369,6
10.3,0.64,48.0,0.55,0.9994,6
10.0,0.73,45.0,0.43,0.998,6
9.6,0.72,21.0,0.58,0.99769,5
9.55,0.65,12.0,0.685,0.99745,6
11.2,0.5,47.0,0.88,0.99572,4
11.0,0.5,37.0,0.52,0.99685,5
11.5,0.62,13.0,0.58,0.99557,4
10.2,0.59,55.0,0.58,0.9968,5
10.3,0.47,8.0,0.59,0.996,5
10.5,0.54,31.0,0.51,0.99538,6
9.4,1.28,67.0,0.43,0.9974,5
10.6,0.81,28.0,0.43,0.99492,6
9.9,0.89,54.0,0.41,0.9996,6
9.5,0.64,66.0,0.43,0.99718,5
9.8,0.66,108.0,0.62,0.9964,5
9.5,0.5,98.0,0.64,0.99736,5
10.9,0.7,119.0,0.64,0.99538,5
9.5,0.39,12.0,0.655,0.99587,5
11.4,0.71,52.0,0.54,0.997,6
11.4,0.56,13.0,0.59,0.99472,5
9.5,0.59,66.0,0.4,0.9971,6
11.5,0.52,11.0,0.305,0.99331,6
9.3,0.59,25.0,0.53,0.9998,6
10.7,0.61,12.0,0.33,0.99542,5
10.2,0.6,28.0,0.68,0.9988,5
9.0,0.56,35.0,0.46,1.0006,6
9.8,0.51,77.0,0.74,0.998,5
11.4,0.46,11.0,0.39,0.99478,5
11.7,0.68,32.0,0.21,0.9972,6
10.4,0.6,35.0,0.84,0.9997,6
11.4,0.85,60.0,0.31,0.99492,6
9.9,0.76,41.0,0.41,0.99735,7
10.9,0.83,50.0,0.39,0.99478,6
9.4,0.62,104.0,0.56,0.9976,5
9.0,0.61,84.0,0.39,0.99717,5
11.2,0.56,64.0,0.57,0.99491,6
10.3,0.55,15.0,0.48,0.99693,6
10.5,0.51,37.0,0.49,0.9966,5
9.5,0.49,13.0,0.78,0.99855,5
10.1,0.54,65.0,0.36,0.99558,6
12.3,0.64,55.0,0.42,0.99471,7
10.9,0.82,42.0,0.67,0.99489,6
11.5,0.83,13.0,0.44,0.998,5
9.9,0.7,34.0,0.6,0.9972,6
9.3,0.63,18.0,0.62,0.99735,5
11.1,0.72,20.0,0.36,0.99676,7
9.2,0.43,15.0,0.49,1.0,5
9.1,0.49,15.0,0.6,0.9988,5
11.5,0.55,14.0,0.59,0.99488,7
9.4,0.61,112.0,0.54,0.9976,5
10.6,0.67,56.0,0.775,0.9984,6
11.3,0.71,36.0,0.57,0.99519,7
11.7,0.82,19.0,0.4,0.9986,7
11.7,0.66,20.0,0.48,0.997,6
9.9,1.95,136.0,0.49,0.9972,6
9.3,1.15,56.0,0.635,0.99632,5
10.5,0.6,65.0,0.56,0.99294,6
11.8,0.93,21.0,0.42,0.9979,6
10.2,0.72,10.0,0.26,0.9968,7
10.3,0.7,53.0,0.4,0.9967,6
11.9,0.5,27.0,0.715,0.99362,5
10.4,0.85,23.0,0.43,1.0,7
10.2,0.63,73.0,0.51,0.9955,6
12.4,0.78,36.0,0.34,0.99392,6
9.8,0.54,9.0,0.57,0.99458,6
11.8,0.69,39.0,0.31,0.99562,5
11.4,0.55,18.0,0.34,0.99392,5
10.0,0.48,48.0,0.74,0.99502,5
10.8,0.62,90.0,0.815,0.99621,5
9.4,0.57,72.0,0.53,0.9957,5
9.7,0.67,46.0,0.31,0.9988,6
10.2,0.71,44.0,0.645,0.99547,5
9.5,0.46,29.0,0.47,0.9979,5
9.5,0.47,35.0,0.38,0.9961,5
10.8,0.59,18.0,0.59,0.9962,7
9.8,0.48,30.0,0.585,0.9967,6
12.8,0.7,10.0,0.28,0.99356,7
9.8,0.58,91.0,0.63,0.99616,6
9.0,0.5,29.0,0.59,0.9974,4
9.4,0.51,77.0,0.46,0.99922,5
10.9,0.83,10.0,0.31,0.99572,7
9.8,0.71,71.0,0.59,1.00015,5
9.3,0.6,30.0,0.52,0.9978,5
9.4,0.49,27.0,0.39,0.99596,5
10.1,0.57,88.0,1.02,0.9984,6
11.7,0.57,64.0,0.44,0.9935,6
10.6,0.57,37.0,0.685,0.9966,6
9.8,0.93,28.0,0.31,0.9982,6
12.4,0.86,19.0,0.53,0.99585,6
9.3,0.6,50.0,0.62,0.9951,5
9.3,0.7,22.0,0.59,1.0,6
11.2,0.67,155.0,0.88,1.001,5
9.8,0.71,41.0,0.735,0.9974,6
10.3,0.61,42.0,0.38,1.0004,5
10.1,0.64,45.0,0.41,0.99824,6
9.1,1.06,32.0,0.48,0.99656,6
11.5,0.74,14.0,0.53,0.9978,7
11.0,0.67,31.0,0.53,0.9968,4
11.5,0.54,9.0,0.56,0.9948,6
9.5,0.55,143.0,0.5,0.9968,5
9.2,0.62,21.0,0.36,1.0,6
11.3,0.87,18.0,0.42,0.9972,6
12.4,0.76,25.0,0.33,0.99509,7
9.3,0.8,88.0,0.49,0.9968,5
11.3,0.49,29.0,0.4,0.99416,7
9.4,0.7,81.0,0.7,0.9973,5
9.4,1.14,51.0,0.67,0.9969,5
11.2,0.46,33.0,0.98,0.99488,6
9.4,1.1,38.0,0.44,0.99634,5
9.2,0.56,12.0,0.4,0.9958,5
11.9,0.46,39.0,0.43,0.99346,6
10.5,0.71,128.0,0.43,0.9973,5
9.0,0.65,38.0,0.52,0.9984,6
9.3,0.62,53.0,0.44,0.9957,5
11.1,0.79,113.0,0.34,0.9966,5
13.3,0.53,24.0,0.39,0.99252,6
11.9,0.67,6.0,0.315,0.99512,6
11.1,0.52,29.0,0.68,0.99524,4
11.3,0.6,32.0,0.56,0.99402,5
10.7,0.93,54.0,0.51,0.995,6
9.5,0.59,42.0,0.61,0.9969,5
10.0,0.65,54.0,0.48,0.99728,7
11.0,0.65,16.0,0.35,0.9972,8
10.6,0.6,34.0,0.46,0.9948,6
11.8,0.66,15.0,0.51,0.9973,7
10.0,0.52,14.0,0.5,0.9978,4
11.0,0.87,77.0,0.22,0.99604,7
10.2,0.87,15.0,0.46,0.9988,5
11.0,0.71,78.0,0.54,0.9964,5
11.4,0.49,48.0,0.67,0.9949,6
9.8,0.59,60.0,0.58,0.9963,5
11.2,0.53,36.0,0.58,0.9944,6
12.3,0.89,34.0,0.815,0.9955,7
12.8,0.6,49.0,0.57,0.99374,5
10.1,0.54,20.0,0.695,0.99546,5
9.5,0.63,68.0,0.59,0.9992,5
10.6,0.83,42.0,0.25,0.9959,6
10.4,0.64,51.0,0.43,0.99634,5
9.9,0.52,100.0,0.56,0.99586,5
9.0,0.58,85.0,0.49,0.99706,5
11.2,0.71,52.0,0.16,0.99494,6
10.1,0.57,84.0,1.025,0.9985,5
9.2,0.84,24.0,0.21,1.00005,7
9.8,0.5,45.0,0.74,0.99576,5
9.3,0.52,14.0,0.835,0.9975,5
9.4,0.61,125.0,0.47,0.9984,5
9.5,0.54,85.0,0.62,0.99746,5
9.5,0.62,65.0,0.36,0.99716,6
9.5,0.63,98.0,0.46,0.99815,6
9.5,0.49,18.0,0.39,1.0004,5
10.4,0.65,17.0,0.79,0.99588,6
9.4,0.61,66.0,0.54,0.99785,5
9.5,0.63,12.0,0.43,0.9994,6
10.5,0.54,31.0,0.51,0.99538,6
11.0,0.9,24.0,0.24,0.9978,7
10.9,0.79,77.0,0.26,0.9951,6
11.0,0.65,49.0,0.59,0.9988,6
11.0,0.9,24.0,0.24,0.9978,7
9.9,0.78,63.0,0.765,0.9975,5
10.9,0.4,9.0,1.58,0.99476,3
9.3,1.02,110.0,0.61,0.9972,5
12.5,0.69,16.0,0.4,0.99462,8
11.5,0.56,113.0,0.33,0.99572,4
10.3,0.59,18.0,0.635,0.9961,6
10.0,0.65,54.0,0.48,0.99728,7
9.9,0.52,70.0,0.83,0.9981,5
11.5,0.5,149.0,0.39,0.9922,6
9.3,0.61,19.0,0.615,0.9982,5
10.9,0.81,39.0,0.39,0.99859,7
11.4,0.58,7.0,0.39,0.99462,4
12.0,1.13,18.0,0.27,0.9962,7
12.5,0.77,43.0,0.31,0.99444,7
10.9,0.49,12.0,1.33,0.9964,5
9.6,0.54,59.0,0.66,0.99976,5
10.4,0.75,69.0,0.35,0.9994,6
12.8,0.61,32.0,0.75,0.9955,6
9.5,0.45,77.5,0.63,0.99558,5
10.5,0.88,19.0,0.3,0.998,7
9.6,0.82,63.0,0.745,0.9965,5
9.8,0.87,21.0,0.5,0.996,6
10.2,0.6,20.0,0.61,0.9963,6
9.6,0.67,37.0,0.55,0.9982,5
9.6,0.46,26.0,0.78,0.9978,4
9.4,0.55,144.0,0.57,0.99782,5
9.4,0.54,16.0,0.38,1.0006,5
12.0,0.52,11.0,0.35,0.99585,6
9.2,0.58,121.0,0.44,0.9978,5
9.2,0.54,65.0,0.58,0.9959,5
10.9,0.68,24.0,0.5,1.00012,6
9.1,0.57,53.0,0.52,0.9971,5
10.5,0.71,18.0,0.2,0.9979,5
9.3,0.8,16.0,0.37,0.9988,5
10.2,0.62,28.0,0.6,0.9966,7
9.4,0.57,19.0,0.38,0.9955,5
9.5,0.7,73.0,0.59,0.999,6
9.5,0.54,48.0,0.67,0.99888,6
10.0,0.74,44.0,0.46,0.998,6
9.5,0.63,19.0,0.28,0.9988,5
9.0,0.6,15.0,0.7,0.9991,6
9.8,0.5,31.0,0.87,0.99656,5
11.4,0.73,78.0,0.915,0.99346,5
10.6,0.97,58.0,0.32,0.99633,5
9.3,0.5,22.0,0.68,0.9969,5
9.6,0.81,20.0,0.52,0.9973,6
11.9,0.74,14.0,0.6,1.001,6
11.3,0.9,34.0,0.28,0.9952,7
9.4,0.54,120.0,0.59,0.9968,5
9.1,1.33,64.0,0.76,0.99652,6
9.3,0.67,17.0,0.4,0.9984,6
9.5,0.62,86.0,0.43,0.9987,6
10.7,0.56,23.0,0.775,0.9965,5
10.4,0.63,6.0,0.45,0.9969,5
10.7,0.63,12.0,0.34,0.99605,5
10.5,0.72,129.0,0.43,0.9973,5
9.9,0.68,52.0,0.77,0.9976,5
12.4,0.67,28.0,0.395,0.99362,6
11.0,1.06,20.0,0.24,0.9977,6
10.5,0.68,34.0,0.55,0.99655,5
11.0,0.71,35.0,0.33,0.99396,6
9.8,0.64,26.0,0.49,0.99547,6
11.2,0.72,16.0,0.48,0.9968,5
10.8,0.56,13.0,0.6,0.99639,5
9.6,0.56,20.0,0.805,0.9969,5
12.9,0.82,88.0,0.85,0.9924,8
9.8,0.6,110.0,0.47,0.9982,5
9.2,1.17,66.0,0.78,0.99623,5
9.6,0.44,22.0,0.56,0.9976,5
10.1,0.66,88.0,0.66,0.99796,5
9.0,0.49,40.0,0.43,1.0004,5
12.1,0.77,37.0,0.34,0.9952,7
9.2,0.53,106.0,0.48,0.9982,5
11.4,0.55,7.0,0.34,0.9947,7
10.4,0.48,9.0,0.33,0.99628,6
9.3,0.68,99.0,0.9,1.00289,5
10.2,0.61,26.0,0.57,0.99575,5
9.5,0.5,22.0,0.965,0.9963,5
9.5,0.81,53.0,0.34,1.0014,6
9.8,0.5,74.0,0.77,0.99656,6
10.8,0.51,12.0,0.885,0.99551,5
9.5,1.22,125.0,0.39,0.9978,5
9.3,0.51,46.0,0.61,0.9976,4
13.0,0.63,99.0,0.5,0.9937,5
10.5,0.86,54.0,0.4,0.99754,6
10.4,0.58,50.0,0.4,0.99783,5
9.5,0.57,139.0,0.53,0.99788,5
11.3,0.69,18.0,0.44,0.99444,6
10.0,0.53,96.0,0.82,0.99814,5
9.4,0.49,121.0,0.59,0.9981,5
10.6,0.86,49.0,0.52,0.9976,7
9.7,0.77,48.0,0.36,0.99661,6
11.0,0.57,31.0,0.73,0.9966,5
10.0,0.92,46.0,0.56,0.9979,6
11.7,0.57,42.0,0.36,0.9946,6
9.4,0.53,145.0,0.885,0.9978,5
11.0,0.69,14.0,0.44,0.99555,6
12.0,0.63,26.0,0.64,0.99538,5
11.4,0.54,11.0,0.46,0.99425,5
12.9,0.55,25.0,0.605,0.99258,5
9.5,0.53,151.0,1.24,0.998,5
11.2,0.74,22.0,0.33,0.9998,7
11.8,0.83,15.0,0.54,0.9984,7
11.0,0.52,44.0,0.56,0.9958,5
11.7,0.71,14.0,0.735,0.99538,7
10.7,0.93,54.0,0.51,0.995,6
10.0,0.67,21.0,0.785,0.99692,5
11.7,0.74,57.0,0.86,0.99598,6
9.4,0.43,88.0,0.35,0.99918,5
10.1,0.62,13.0,0.62,0.99498,4
9.4,0.53,147.0,0.88,0.9979,5
9.7,0.67,21.0,0.27,1.0002,6
9.4,0.62,122.0,0.48,0.9984,5
11.5,0.71,59.0,0.66,0.9989,7
9.2,0.47,46.0,0.58,0.99592,5
9.5,0.62,65.0,0.36,0.99716,6
9.0,0.48,42.0,0.55,0.9956,4
9.9,0.52,59.0,0.615,0.9943,5
9.2,0.61,18.0,0.42,0.9972,6
9.3,0.65,45.0,0.33,0.99625,5
9.7,0.47,24.0,0.69,0.99578,5
9.8,0.46,19.0,0.53,0.995,5
10.8,0.69,33.0,0.635,0.99736,7
9.5,0.54,105.0,0.56,0.9962,5
9.4,0.61,25.0,0.53,0.9975,6
9.1,0.58,94.0,0.41,0.99786,5
9.5,0.69,16.0,0.57,0.99654,5
10.2,0.63,69.0,0.63,0.99734,6
