Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,quality
11.7,0.56,17.0,0.53,1.0002,6
9.5,0.54,108.0,0.56,0.9962,5
9.8,0.48,12.0,0.62,0.9942,5
9.4,0.48,68.0,0.34,0.99694,5
10.4,0.57,55.0,0.635,0.99745,4
10.0333333333333,0.65,28.0,0.475,0.99704,6
9.6,0.57,49.0,0.46,0.9981,4
9.2,0.69,50.0,0.49,1.0015,6
11.8,0.76,88.0,0.18,0.99524,7
9.6,0.71,33.0,0.67,0.99845,5
11.7,0.84,27.0,0.29,0.99516,7
11.3,0.66,54.0,0.68,0.99586,6
10.7,0.43,47.0,0.91,0.99525,6
10.6,0.68,22.0,0.28,0.99828,5
9.7,0.55,28.0,0.55,0.9964,5
11.2,0.54,10.0,0.34,0.99419,7
9.6,0.56,47.0,0.59,0.9991,4
10.9,1.04,24.0,0.26,0.9976,7
9.2,0.59,24.0,0.6,0.9984,6
10.2,0.75,21.0,0.45,0.99551,6
12.1,0.71,60.0,0.23,0.9971,6
9.8,0.58,60.0,0.28,0.998,6
9.4,0.62,92.0,0.685,0.9963,5
14.0,0.79,18.0,0.46,0.9947,6
9.7,0.62,87.0,0.61,0.99975,5
9.4,0.56,40.0,0.66,0.9978,5
9.5,0.6,10.0,0.61,0.99525,5
10.7,0.86,21.0,0.31,0.9987,6
9.8,0.66,31.0,0.64,0.99689,5
10.5,0.83,87.0,0.45,0.9978,5
9.9,0.59,20.0,0.715,0.9966,5
9.8,0.49,109.0,0.58,0.99565,6
9.5,0.77,52.0,0.715,0.9968,5
10.0,1.1,13.0,0.33,0.996,8
11.2,0.55,24.0,1.02,0.99437,4
9.9,0.48,31.0,0.8,0.9979,5
11.1,0.58,10.0,0.21,0.99552,7
11.0,0.72,79.0,0.36,0.9964,6
13.6,0.88,38.0,0.36,0.9933,7
9.8,0.66,32.0,0.63,0.99689,5
10.55,0.5,89.0,0.54,0.99236,6
9.6,0.44,14.0,0.5,1.0002,5
9.5,0.51,104.0,0.69,0.99632,5
9.0,0.64,42.0,0.42,0.9978,5
12.8,0.4,18.0,0.75,0.99242,6
10.6,0.68,22.0,0.28,0.99828,5
11.0,1.11,47.0,0.45,1.0003,6
11.0,0.68,72.0,0.36,0.99645,5
11.2,0.68,43.0,0.685,1.0032,7
10.4,0.64,74.0,0.77,0.99865,6
11.95,0.54,18.0,0.65,0.99348,5
12.7,0.77,20.0,0.33,0.99426,7
9.7,0.59,35.0,0.55,0.9959,6
11.7,0.69,12.0,0.42,0.99516,8
10.9,0.44,60.0,0.96,0.9955,5
11.5,0.62,96.0,1.04,0.9934,5
9.5,0.53,38.0,0.72,0.9978,5
8.8,0.75,82.0,0.5,1.00242,5
12.1,0.64,24.0,0.3,0.99498,7
9.3,0.65,18.0,0.45,0.99774,6
11.4,0.7,24.0,0.36,0.99419,8
10.0,0.47,26.0,0.5,0.99647,5
9.8,0.63,23.0,0.82,0.9984,5
11.4,0.76,13.0,0.52,0.99774,6
11.0,0.72,79.0,0.36,0.9964,6
11.7,0.85,11.0,0.44,0.9944,6
9.5,0.91,45.0,0.4,0.99727,6
9.6,0.58,39.0,0.52,0.9968,5
9.1,0.54,95.0,0.665,0.997,5
9.8,0.51,40.0,0.31,0.9976,6
9.7,0.63,40.0,0.4,0.9968,6
10.0,0.56,62.0,0.725,0.99685,6
9.5,0.64,66.0,0.43,0.99718,5
12.4,0.8,41.0,0.25,0.99439,7
9.4,0.57,33.0,0.63,0.9974,5
11.7,0.39,100.0,0.28,0.99064,7
10.0,0.53,101.0,0.41,1.00024,5
10.1,0.59,40.0,0.55,0.9961,5
11.0666666666667,0.68,92.0,0.67,0.99566,6
10.1,0.78,65.0,0.37,0.99935,5
10.4,0.59,27.0,0.57,0.99592,6
10.4,0.65,28.0,0.8,0.99836,6
9.8,0.75,30.0,0.63,0.99712,5
9.56666666666667,0.52,98.0,0.785,0.99713,6
9.3,0.6,31.0,0.54,0.9976,6
12.0,0.86,31.0,0.31,0.99615,7
12.4,0.56,18.0,0.22,0.99344,6
12.5,0.78,26.0,0.49,0.9968,7
9.4,0.64,38.0,0.715,0.99735,5
10.8,0.71,38.0,0.45,0.99818,5
10.0,0.56,37.0,0.58,0.9992,5
9.5,0.55,32.0,0.58,0.9974,5
9.8,0.65,54.0,0.76,0.997,5
9.4,0.46,59.0,0.6,0.9964,5
9.4,0.54,105.0,0.53,0.996,6
11.0,0.58,8.0,0.37,0.99817,5
9.5,0.51,101.0,0.39,1.0001,5
9.7,0.56,48.0,0.59,0.9981,5
10.0,0.73,42.0,0.615,1.0022,7
11.8,0.64,20.0,0.52,0.99474,6
10.5,0.76,121.0,0.49,0.9974,5
11.9,0.6,26.0,0.35,0.9947,6
9.5,0.91,37.0,0.43,0.9966,5
10.4,0.81,51.0,0.2,0.99672,6
9.4,0.5,70.0,0.36,0.99693,5
10.4,0.58,31.0,0.64,0.99545,6
11.5,0.84,48.0,0.39,0.99494,6
10.2,0.65,23.0,0.915,0.9964,7
9.9,0.7,39.0,0.68,0.9977,6
9.6,0.44,22.0,0.56,0.9976,5
9.8,0.54,93.0,0.92,0.9998,5
12.9,0.72,42.0,0.38,0.99356,7
10.2,0.72,58.0,0.69,0.9997,5
11.9,0.58,10.0,0.38,0.99604,7
9.2,0.62,13.0,0.34,0.998,5
9.3,0.56,23.0,0.39,0.9955,5
12.5,0.7,16.0,0.43,0.9948,6
10.4,0.61,28.0,0.24,0.9978,5
9.5,0.58,37.0,0.29,0.9969,5
9.3,1.31,69.0,0.41,0.9973,5
9.4,0.86,28.0,0.785,0.9994,6
9.5,0.53,45.0,0.62,0.9978,5
11.0,0.61,62.0,0.715,0.99395,5
10.1,0.43,65.0,0.57,0.9959,5
9.0,0.57,89.0,1.07,0.9962,5
9.4,0.49,27.0,0.39,0.99596,5
12.8,0.55,8.0,0.36,0.9928,7
9.5,0.48,94.0,0.69,0.9961,5
9.9,0.49,105.0,0.6,0.99613,5
11.4,0.65,35.0,0.715,0.99533,6
10.5,0.47,14.0,0.49,0.99562,5
13.1,0.56,65.0,0.52,0.9934,4
11.0,0.53,20.0,0.42,0.99852,5
9.4,0.55,142.0,0.4,0.9978,5
10.9,0.51,21.0,0.295,0.99556,6
9.7,0.57,86.0,0.66,0.99743,5
10.4,0.63,6.0,0.45,0.9969,5
11.0,0.49,11.0,1.02,0.99892,3
12.8,0.66,33.0,0.27,0.9956,6
10.8,0.62,35.0,0.57,0.99557,6
9.0,0.56,35.0,0.46,1.0006,6
9.7,0.91,26.0,0.29,1.0006,5
10.1,0.64,45.0,0.41,0.99824,6
10.0333333333333,0.65,28.0,0.475,0.99704,6
9.5,0.55,88.0,0.6,0.99745,5
11.0,0.75,40.0,0.51,0.99574,6
9.2,0.64,52.0,0.4,0.998,5
11.7,0.84,25.0,0.3,0.99516,7
9.8,1.98,133.0,0.49,0.9972,5
9.5,0.6,16.0,0.49,0.998,6
10.5,0.58,44.0,0.6,0.9949,5
9.7,0.55,28.0,0.55,0.9964,5
9.3,0.82,19.0,0.26,0.9986,6
12.8,0.62,44.0,0.47,0.9921,6
9.8,0.68,41.0,0.38,1.001,6
11.0,0.78,106.0,0.365,0.9966,5
9.8,0.65,38.0,0.61,0.99748,5
11.2,0.84,22.0,0.51,0.99438,6
9.3,0.52,42.0,0.73,0.9972,5
9.9,0.76,41.0,0.41,0.99735,7
9.4,0.52,18.0,0.52,0.99666,5
9.5,0.93,47.0,0.56,0.9964,5
9.7,0.6,45.0,0.5,0.99864,7
10.5,0.9,14.0,0.49,0.9968,6
9.0,0.47,57.0,0.34,0.9978,6
9.4,0.7,90.0,0.62,0.9984,5
9.2,0.56,37.0,0.43,0.99615,6
10.5,0.73,25.0,0.61,0.99746,5
9.4,0.64,14.0,0.5,0.9955,6
9.3,0.43,44.0,0.58,0.99494,5
9.1,0.59,106.0,0.47,0.9982,5
10.7,0.79,65.0,0.32,0.9969,5
12.7,0.44,109.0,0.18,0.99007,6
9.0,0.58,85.0,0.49,0.99706,5
12.1,0.62,13.0,0.33,0.99658,7
10.9,0.83,10.0,0.31,0.99572,7
9.3,0.58,65.0,0.61,0.9971,5
9.2,0.64,45.0,0.415,0.9972,5
9.6,0.74,64.0,0.46,0.99746,5
13.0,0.63,99.0,0.5,0.9937,5
9.2,0.56,15.0,0.45,0.9958,5
10.2,1.17,110.0,0.6,0.99914,5
9.2,0.51,65.0,0.575,0.9967,5
9.4,0.64,17.0,0.55,0.99659,6
11.0,0.73,17.0,0.46,0.9988,6
9.9,0.86,48.0,0.44,0.99832,3
9.2,0.66,23.0,0.28,1.0026,5
9.5,0.62,96.0,0.63,0.9961,5
9.8,0.48,39.0,0.53,0.99615,6
9.5,0.62,14.0,0.41,0.9994,6
10.5,0.73,72.0,0.38,0.9996,5
10.9,0.72,68.0,0.5,0.99708,6
11.7,0.74,38.0,0.65,0.9963,7
9.5,0.58,13.0,0.66,0.99569,5
9.2,0.63,22.0,0.5,0.9963,5
10.6,0.67,32.0,0.28,0.99686,7
10.8,0.78,29.0,0.3,0.99588,6
9.3,0.65,58.0,0.59,1.0002,6
9.1,0.48,10.0,0.84,0.99554,6
11.4,0.6,19.0,0.34,0.99546,6
12.3,0.56,48.0,0.84,0.9952,7
9.0,0.59,35.0,0.545,0.9972,6
9.9,0.89,54.0,0.41,0.9996,6
9.6,0.82,83.0,0.32,0.9984,5
11.3,0.73,28.0,0.37,0.9947,7
12.8,0.63,11.0,0.66,0.99378,7
11.3,0.73,28.0,0.37,0.9947,7
10.0,0.72,28.0,0.705,0.9994,5
10.0,0.46,31.0,0.885,0.9946,5
10.5,0.54,31.0,0.51,0.99538,6
9.2,0.44,68.0,0.79,0.9955,5
10.3,0.53,16.0,0.48,0.99682,5
10.0,0.53,19.0,0.7,0.99701,6
9.5,0.6,72.0,0.45,0.998,5
9.2,0.74,53.0,0.46,0.9981,6
9.0,0.58,38.0,0.63,0.99675,6
10.6,0.6,34.0,0.46,0.9948,6
12.8,0.86,37.0,0.35,0.9973,8
9.3,0.59,25.0,0.53,0.9998,6
9.7,0.73,54.0,0.58,0.99683,5
9.4,0.5,28.0,0.56,0.997,6
10.2,1.17,110.0,0.6,0.99914,5
9.5,0.52,13.0,0.73,0.9968,5
9.9,0.96,23.0,0.66,0.9983,6
11.2,0.8,15.0,0.37,0.99576,6
11.4,0.65,12.0,0.45,0.99354,6
9.5,0.48,96.0,0.67,0.9962,5
10.5,0.48,85.0,1.02,0.9938,4
11.1,0.85,38.0,0.47,0.99518,6
9.4,0.52,83.0,0.605,0.9993,6
10.7,0.52,14.0,0.5,0.9987,6
11.5,0.77,44.0,0.32,0.99734,6
10.2,0.56,27.0,0.53,0.9967,6
10.1,0.56,31.0,0.735,0.9986,6
9.4,0.55,143.0,0.685,0.9978,5
9.4,0.46,48.0,0.43,0.9976,5
11.8,0.63,74.0,0.26,0.99451,8
12.0,0.56,10.0,0.4,0.99566,4
9.4,0.56,34.0,0.7,0.9978,5
10.5,0.47,41.0,1.18,0.99532,5
9.5,0.82,38.0,0.62,0.99651,6
10.7,0.55,30.0,0.785,0.9966,6
10.3,0.78,61.0,0.3,0.9959,6
11.9,0.76,21.0,0.12,0.99552,7
9.1,0.57,73.0,0.5,0.997,5
9.6,0.58,65.0,0.63,0.9988,5
9.7,0.47,48.0,0.745,0.99739,6
9.3,0.67,17.0,0.4,0.9984,6
10.3,0.68,45.0,0.53,0.99528,6
9.5,0.65,79.0,0.4,0.9969,6
10.2,0.56,62.0,0.67,0.9958,6
9.7,0.53,94.0,0.59,0.99744,6
10.9,0.64,43.0,0.63,0.99578,6
9.4,0.62,40.0,0.54,0.9991,5
10.4,0.44,25.0,0.42,0.99628,5
10.0,0.58,31.0,0.71,0.99635,6
10.5,0.56,18.0,0.58,0.99568,7
9.5,0.55,51.0,0.41,0.99668,6
9.6,0.44,19.0,0.955,0.99616,4
9.1,0.61,27.0,0.69,0.9974,5
9.6,0.58,23.0,0.64,0.9961,5
10.2,0.67,32.0,0.965,0.99756,5
9.4,0.6,28.0,0.735,0.99765,5
9.4,0.48,36.0,0.49,0.996,5
12.7,0.52,39.0,0.36,0.9956,6
10.7,0.62,45.0,0.78,0.99612,6
9.4,0.47,9.0,0.66,0.9962,5
9.7,0.49,12.0,0.755,0.99672,4
11.0,0.64,8.0,0.27,0.9951,7
9.5,0.69,79.0,0.57,0.99677,6
9.5,0.44,135.0,0.19,0.99341,5
9.5,0.62,35.0,0.52,0.9968,7
9.9,1.08,10.0,0.27,0.9972,7
9.7,1.07,122.0,0.42,0.99801,5
10.5,0.61,34.0,0.43,0.99788,5
9.2,0.54,79.0,0.725,0.9977,5
9.0,0.58,38.0,0.63,0.99675,6
10.0,0.6,28.0,0.645,0.99815,6
9.4,0.62,141.0,0.67,0.9968,5
10.8,0.76,11.0,0.57,0.99448,6
9.2,0.63,72.0,0.55,0.9959,5
9.4,0.84,18.0,0.58,0.9966,5
10.9,0.6,56.0,0.55,0.9962,6
9.8,0.54,9.0,0.57,0.99458,6
11.9,0.6,27.0,0.7,0.99622,6
10.0,0.78,37.0,0.32,0.9985,6
9.9,0.78,60.0,0.39,0.99714,5
10.5,0.57,47.0,0.37,0.99734,5
11.2,0.68,18.0,0.48,0.99684,7
10.5,0.8,102.0,0.5,0.9978,5
10.8,0.61,35.0,0.39,0.9994,6
12.8,0.4,18.0,0.75,0.99242,6
10.3,0.54,45.0,0.43,0.99603,5
11.6,0.61,35.0,0.545,0.996,6
9.3,0.57,119.0,0.57,0.99675,5
12.0,0.78,26.0,0.31,0.99536,6
9.0,0.58,43.0,0.49,1.0004,5
10.0,0.7,49.0,0.38,0.9982,7
11.0,0.45,46.0,0.64,0.99358,5
9.7,0.6,10.0,0.69,0.99636,6
11.1,0.74,23.0,0.645,1.00315,5
10.8,0.59,61.0,0.52,0.99528,6
11.2,0.8,28.0,0.47,0.99516,5
9.2,1.17,66.0,0.78,0.99623,5
12.3,0.55,28.0,0.5,0.99352,6
11.3,0.61,23.0,0.43,0.9976,6
9.5,1.62,127.0,0.31,0.9965,5
9.6,0.51,48.0,0.775,0.9976,5
11.1,0.79,44.0,0.35,0.99656,6
14.0,0.79,63.0,0.34,0.9916,6
12.0,0.85,76.0,0.44,0.999,7
11.8,0.89,46.0,0.62,0.99504,6
10.0,0.67,21.0,0.785,0.99692,5
9.3,0.6,38.0,0.69,0.999,5
13.5666666666667,0.88,89.0,0.47,0.99182,7
11.2,0.82,24.0,0.56,0.99438,6
11.5,0.52,14.0,0.875,0.9994,5
11.2,0.62,17.0,0.5,0.9996,5
10.5,0.61,38.0,0.52,0.9972,6
10.9,0.76,49.0,0.25,0.99666,7
9.5,0.67,25.0,0.65,0.9972,6
10.8,0.66,14.0,0.81,0.99562,6
10.0,0.64,14.0,0.53,0.99593,6
12.9,0.87,101.0,0.51,0.9924,7
10.5,0.54,9.0,0.51,0.99584,5
11.6,0.56,26.0,0.74,0.99402,6
10.0,0.47,21.0,0.65,0.9946,7
10.5,0.71,17.0,0.5,0.99774,6
9.2,0.66,15.0,0.34,0.9988,6
9.3,0.49,36.0,0.23,0.99614,4
11.7,0.75,29.0,0.42,0.997,7
9.2,0.48,113.0,0.66,0.99733,5
9.8,0.65,37.0,0.46,0.99732,5
9.5,0.5,22.0,0.965,0.9963,5
9.5,0.62,15.0,0.46,0.9981,5
11.3,0.6,21.0,0.69,0.99572,6
10.9,0.87,10.0,0.26,0.99724,6
11.2,0.68,10.0,0.31,0.99536,7
11.5,0.77,44.0,0.32,0.99734,6
11.9,0.46,39.0,0.43,0.99346,6
9.4,1.26,45.0,0.41,0.9968,5
10.6,0.82,47.0,0.35,0.99676,7
10.9,0.61,37.0,0.6,0.99514,6
10.6,1.04,46.0,0.28,0.9967,6
11.1,0.59,67.0,0.43,0.99648,6
9.5,0.61,122.0,0.52,0.9982,5
14.0,0.79,63.0,0.34,0.9916,6
9.9,0.67,53.0,0.64,0.9998,5
11.0,0.85,44.0,0.36,0.99534,7
9.6,0.7,58.0,0.37,0.998,6
10.8,0.51,12.0,0.885,0.99551,5
11.3,0.67,20.0,0.67,0.9954,6
9.8,0.82,29.0,0.31,0.9987,8
10.3,0.61,42.0,0.38,1.0004,5
9.5,0.54,81.0,0.715,0.99688,6
9.5,1.61,81.0,0.59,0.9964,6
10.8,0.49,17.0,0.725,0.99655,6
10.5,0.58,63.0,0.43,0.99615,6
10.1,0.54,54.0,0.85,0.99724,5
10.8,0.62,35.0,0.57,0.99557,6
10.2,0.67,15.0,0.44,0.998,6
10.5,0.64,30.0,0.75,0.99824,5
9.1,1.12,119.0,0.625,0.9972,4
10.2,0.58,30.0,0.49,0.9959,6
11.3,0.76,41.0,0.41,0.99939,6
11.6,0.52,52.0,0.795,0.99378,5
9.6,0.7,23.0,0.26,0.9974,6
9.5,0.52,13.0,0.73,0.9968,5
13.6,0.73,88.0,0.42,0.99157,7
11.1,0.74,23.0,0.645,1.00315,5
9.4,0.77,110.0,0.63,0.9983,5
9.8,0.58,26.0,0.5,0.9952,6
12.7,0.66,11.0,0.66,0.99318,7
9.8,0.65,38.0,0.61,0.99748,5
11.4,0.84,55.0,0.54,0.9956,6
9.8,0.64,36.0,0.54,0.9973,5
11.3,0.7,16.0,0.34,0.997,6
9.4,0.64,75.0,0.34,0.9998,5
9.5,0.71,13.0,0.67,1.0,6
9.2,0.46,67.0,0.87,0.99668,5
10.8,1.05,22.0,0.24,0.9976,7
9.9,0.45,133.0,0.64,0.9956,5
12.0,0.93,15.0,0.49,0.9986,6
10.9,0.94,22.0,0.24,0.9974,6
9.2,0.74,48.0,0.54,0.9981,6
10.5,0.56,18.0,0.58,0.99568,7
9.8,0.58,88.0,0.63,0.99745,6
12.7,0.74,45.0,0.57,0.99417,8
11.4,0.55,12.0,0.38,0.99605,6
10.2,0.6,28.0,0.68,0.9988,5
13.6,0.66,80.0,0.4,0.9902,6
14.9,0.84,71.0,0.36,0.9976,5
9.2,0.61,18.0,0.42,0.9972,6
9.8,0.48,19.0,1.13,0.994,4
9.4,0.46,48.0,0.43,0.9976,5
9.5,0.54,140.0,0.52,0.9964,5
10.1,0.64,28.0,0.63,0.99531,6
11.8,0.79,16.0,0.31,0.99614,7
9.2,0.58,92.0,0.77,0.99892,5
9.6,0.49,64.0,0.48,0.99529,5
10.1,0.54,20.0,0.695,0.99546,5
11.6,0.74,81.0,0.69,1.0002,6
11.5,1.0,99.0,0.49,1.0008,6
9.4,0.55,35.0,0.71,0.9972,5
9.1,0.57,90.0,0.42,0.99784,5
11.6,0.76,53.0,0.58,0.99374,7
11.1,0.79,20.0,0.44,0.99566,7
9.5,1.59,63.0,0.705,0.9964,5
12.2,0.62,8.0,0.46,0.99674,6
13.3,0.79,25.0,0.41,0.9952,7
12.1,0.69,9.0,0.34,0.99458,7
9.6,0.53,14.0,0.82,0.99854,5
9.3,0.59,102.0,0.73,0.9967,5
9.5,0.55,40.0,0.65,0.99803,5
10.5,0.68,42.0,0.5,0.998,7
9.0,0.55,37.0,1.0,0.99685,6
9.6,0.47,19.0,0.835,0.9966,5
12.3,0.74,16.0,0.42,0.99649,6
9.8,0.53,88.0,0.61,0.99612,5
10.5,0.73,25.0,0.61,0.99746,5
9.6,0.8,80.0,0.33,0.9976,6
10.7,0.79,20.0,0.5,0.999,6
10.1,0.58,52.0,0.34,0.99576,5
12.4,0.62,12.0,0.28,0.99408,7
10.9,0.78,14.0,0.49,0.99702,6
10.2,0.86,67.0,0.25,0.99769,7
10.0,0.5,69.0,0.61,0.99787,6
10.2,0.53,28.0,0.44,0.99613,6
9.5,0.55,22.0,0.43,0.99708,5
9.3,0.62,39.0,0.56,0.9987,5
10.0,0.57,49.0,0.46,0.9968,5
11.1,0.63,67.0,0.23,0.9952,5
10.9,0.87,27.0,0.56,0.9999,5
10.5,0.66,42.0,0.41,0.9986,5
12.5,0.84,27.0,0.57,0.9934,7
13.0,0.6,38.0,0.37,1.0004,7
9.5,0.47,35.0,0.38,0.9961,5
11.1,0.83,39.0,0.5,0.99692,6
10.2,0.48,59.0,0.52,0.99612,5
11.3,0.6,21.0,0.69,0.99572,6
10.8,0.67,37.0,0.41,0.99728,5
9.3,0.57,109.0,0.595,0.9998,5
9.3,0.71,112.0,0.69,0.9968,5
10.0,0.54,48.0,0.35,0.99576,4
12.5,0.57,20.0,0.4,0.99652,6
11.5,0.63,16.0,0.74,0.99508,6
12.6,0.82,13.0,0.32,0.9976,8
10.8,0.6,15.0,0.6,0.9975,6
9.6,0.7,27.0,0.57,0.9972,6
9.8,0.75,30.0,0.63,0.99712,5
10.3,0.6,23.0,0.68,0.99546,5
9.1,0.5,119.0,0.59,0.99801,5
9.2,0.56,104.0,0.46,0.9983,5
9.8,0.62,49.0,0.37,0.9974,6
11.8,0.89,46.0,0.62,0.99504,6
10.3,0.58,22.0,0.59,0.9986,5
10.2,0.65,31.0,0.41,0.9984,5
9.7,0.57,104.0,0.58,0.99779,5
11.7,0.49,22.0,0.58,0.99322,5
9.5,0.68,11.0,0.57,0.997,5
9.3,0.64,77.0,0.735,0.9966,5
12.5,0.81,16.0,0.31,0.99358,7
10.7,0.49,37.0,0.46,0.99624,5
9.7,0.57,71.0,0.6,0.9997,5
9.5,0.93,47.0,0.56,0.9964,5
10.5,0.48,124.0,0.58,0.9956,5
9.05,0.43,23.0,0.48,0.99585,4
10.2,0.61,22.0,0.56,0.99669,5
9.1,0.62,63.0,0.58,0.9984,6
10.8,0.66,24.0,0.53,0.9951,6
9.0,0.53,24.0,0.62,0.9978,5
9.8,0.66,31.0,0.64,0.99689,5
12.0,0.81,74.0,0.34,0.99408,6
9.6,0.65,38.0,0.47,0.99553,6
9.5,0.55,40.0,0.65,0.99803,5
11.0,0.65,16.0,0.35,0.9972,8
10.5,0.8,102.0,0.5,0.9978,5
9.9,0.53,124.0,0.735,0.9994,5
9.8,0.71,71.0,0.59,1.00015,5
