Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,quality
12.5,0.72,26.0,0.52,0.99358,7
10.7,0.54,14.0,1.185,0.9966,3
10.1,0.62,91.0,0.69,0.9979,5
10.0,0.7,28.0,0.31,0.99459,7
9.4,1.05,17.0,0.38,0.9976,5
9.5,0.55,22.0,0.43,0.99708,5
9.3,0.57,86.0,0.6,0.9968,6
10.7,0.58,43.0,0.59,0.9955,6
9.6,0.52,98.0,0.785,0.99713,6
9.2,0.67,56.0,0.695,0.9968,5
12.2,0.84,21.0,0.695,0.9992,7
10.8,0.58,13.0,0.895,0.99582,6
11.1,0.83,39.0,0.5,0.99692,6
9.3,1.14,151.0,0.655,1.001,5
11.4,0.84,27.0,0.39,0.99598,6
9.7,0.53,94.0,0.59,0.99744,6
11.1,0.72,24.0,0.67,0.9956,6
9.6,0.42,35.0,0.655,0.99738,5
10.5,0.67,12.0,0.36,0.99667,6
11.6,0.8,34.0,0.32,0.99484,7
9.1,0.64,43.0,0.41,0.998,5
9.5,0.91,37.0,0.43,0.9966,5
11.0,0.88,55.0,0.41,1.0001,5
10.3,0.46,57.0,0.645,0.9969,5
9.2,1.18,21.0,0.34,1.0,6
9.2,0.56,66.0,0.55,0.9974,5
10.6,0.79,14.0,0.35,0.9971,5
9.1,0.55,41.0,0.725,0.9967,5
10.9,0.6,9.0,0.28,0.99901,6
10.4,0.64,54.0,0.46,0.9956,6
10.4,0.55,19.0,0.32,0.9957,6
10.55,0.68,24.0,0.56,0.99514,7
9.6,0.64,31.0,0.49,0.9966,5
12.0,0.7,24.0,0.35,0.99549,7
11.1,0.89,37.0,0.33,0.99498,7
11.5,0.59,16.0,0.54,0.99479,6
9.5,0.67,25.0,0.65,0.9972,6
9.9,0.54,74.0,0.43,0.9958,6
12.8,0.63,11.0,0.66,0.99378,7
10.1,0.54,99.0,0.6,0.995,5
9.4,0.52,18.0,0.52,0.99666,5
11.9,0.44,16.0,0.96,0.9936,6
11.0,0.75,40.0,0.51,0.99574,6
9.3,0.52,119.0,0.63,0.998,5
9.6,0.44,14.0,0.5,1.0002,5
9.6,0.7,84.0,0.38,0.9972,4
10.5,0.54,31.0,0.51,0.99538,6
10.0,0.42,14.0,0.645,0.9982,6
12.7,0.68,47.0,0.47,1.0021,6
11.0,0.85,71.0,0.38,0.99624,6
12.9,0.58,15.0,0.66,0.99256,5
10.0,0.44,17.0,0.55,0.99735,5
9.7,0.81,49.0,0.4,0.998,6
11.3,0.64,86.0,0.935,1.001,4
11.0,0.81,47.0,0.35,0.99599,6
11.2,0.58,23.0,0.41,0.9957,5
12.8,0.76,12.0,0.33,0.99473,7
9.7,0.68,82.0,0.37,0.99708,6
10.0,0.61,40.0,0.54,0.9978,6
11.5,0.68,16.0,0.76,0.9965,6
12.3,0.51,289.0,0.3,0.99316,7
10.9,0.55,9.0,0.685,0.99632,4
9.2,0.54,89.0,0.69,0.9959,6
9.6,0.5,32.0,0.43,0.9986,5
10.5,0.63,20.0,0.47,0.99647,5
9.7,0.55,33.0,0.84,0.9954,5
12.0,1.13,18.0,0.27,0.9962,7
9.4,0.91,27.0,0.54,0.9987,6
9.4,0.61,53.0,0.55,1.0004,5
11.8,0.72,72.0,0.3,0.99543,6
9.8,0.64,36.0,0.54,0.9973,5
11.3,0.83,24.0,0.49,0.99438,6
9.2,0.73,114.0,0.935,0.997,5
9.3,0.45,89.0,0.75,0.99664,5
9.4,0.48,68.0,0.34,0.99694,5
10.9,0.58,14.0,0.47,0.99517,4
9.5,0.92,44.0,0.4,0.9973,6
11.0,0.66,42.0,0.31,0.99549,6
9.4,0.56,34.0,0.7,0.9978,5
12.8,0.55,8.0,0.36,0.9928,7
9.5,0.5,84.0,0.755,0.99593,5
9.3,0.67,49.0,0.37,0.9963,5
11.3,0.63,33.0,0.64,0.99538,6
10.4,0.68,64.0,0.42,0.99724,6
11.6,0.63,19.0,0.44,0.9963,7
11.7,0.84,27.0,0.29,0.99516,7
11.0,0.58,8.0,0.37,0.99817,5
11.7,0.39,100.0,0.28,0.99064,7
11.3,0.93,67.0,0.18,0.996,5
9.2,0.52,90.0,0.65,0.9973,5
9.6,0.58,23.0,0.64,0.9961,5
9.4,0.53,135.0,0.47,0.9976,5
10.5,0.61,43.0,0.4,0.9975,6
11.6,0.66,21.0,0.39,0.99526,6
10.5,0.75,13.0,0.38,0.99659,6
10.0,0.7,78.0,0.34,0.9992,6
9.2,0.74,23.0,0.66,0.9971,5
10.5,0.68,34.0,0.55,0.99655,5
11.1,0.72,49.0,0.72,0.9994,6
9.9,0.86,51.0,0.47,0.99836,4
11.3,0.6,21.0,0.69,0.99572,6
10.2,0.98,60.0,0.54,0.99709,5
10.6,0.61,47.0,0.32,0.9996,5
10.9,0.87,10.0,0.26,0.99724,6
12.0,0.54,30.0,0.33,0.9976,6
9.4,0.55,42.0,0.765,0.9963,5
10.2,0.63,62.0,0.59,0.9994,6
11.5,0.71,59.0,0.66,0.9989,7
9.2,1.08,56.0,0.32,0.9969,6
9.4,0.48,152.0,0.98,0.998,5
9.6,0.55,18.0,0.645,0.9986,6
10.8,0.69,33.0,0.635,0.99736,7
10.7,0.49,37.0,0.46,0.99624,5
9.0,0.77,95.0,0.54,1.00369,6
10.8,0.63,30.0,0.39,0.9996,7
10.5,0.56,23.0,0.41,0.99786,5
10.7,0.77,13.0,0.825,0.9972,6
9.8,0.5,31.0,0.87,0.99656,5
11.4,0.64,15.0,0.38,0.9956,6
9.5,0.58,94.0,0.58,0.99686,6
9.9,0.96,23.0,0.66,0.9983,6
11.5,0.6,52.0,0.76,0.99379,6
9.8,0.59,85.0,0.59,0.99746,5
10.2,0.75,26.0,0.39,0.9984,6
10.5,0.72,129.0,0.43,0.9973,5
9.3,0.62,18.0,0.56,0.99592,5
10.9,0.73,55.0,0.36,0.99652,6
10.2,0.72,58.0,0.69,0.9997,5
11.3,0.56,15.0,0.78,0.997,5
11.7,0.57,42.0,0.36,0.9946,6
10.2,0.58,27.0,0.7,0.99665,5
9.3,1.28,56.0,0.56,0.9968,5
10.9,0.48,12.0,1.33,0.9964,5
11.1,0.65,25.0,0.38,0.99514,6
9.2,0.59,75.0,0.67,0.99736,4
10.5,0.71,17.0,0.5,0.99774,6
10.1,0.54,20.0,0.695,0.99546,5
9.4,0.62,127.0,0.5,0.9976,5
9.5,0.64,86.0,0.51,0.99764,6
9.4,0.48,47.0,0.4,0.99554,6
9.9,0.52,131.0,0.6,0.99622,5
9.8,0.56,91.0,0.6,0.99616,6
12.2,0.79,20.0,0.41,0.9973,7
9.5,0.59,42.0,0.61,0.9969,5
10.1,0.64,15.0,0.18,0.9973,6
9.0,0.65,38.0,0.52,0.9984,6
9.8,0.51,29.0,0.815,0.99471,3
12.6,0.66,40.0,0.58,0.99387,6
9.8,0.58,91.0,0.63,0.99616,6
8.4,0.63,16.0,0.61,0.9994,3
10.8,0.62,52.0,0.62,0.997,5
9.7,0.7,16.0,0.27,0.998,5
10.5,0.71,128.0,0.43,0.9973,5
9.5,0.62,86.0,0.56,0.9983,5
9.5,0.6,56.0,0.43,0.99633,6
10.5,0.75,103.0,0.28,0.9969,7
9.5,0.58,75.0,0.35,0.9968,6
10.5,0.48,92.0,0.31,0.99677,6
9.5,0.78,28.0,0.55,0.9983,6
9.6,0.81,20.0,0.52,0.9973,6
11.2,0.66,68.0,0.28,0.99501,5
10.4,0.61,23.0,0.5,0.99636,5
9.5,0.45,26.0,0.5,0.99448,5
10.0,0.61,32.0,0.59,0.99735,5
10.3,0.83,44.0,0.53,0.99489,6
10.5,0.77,47.0,0.4,0.9991,7
10.8,0.81,42.0,0.37,0.99526,7
10.5,0.58,63.0,0.43,0.99615,6
9.5,0.59,11.0,0.41,0.9962,5
11.2,0.66,22.0,0.45,0.9986,6
11.0,0.6,23.0,0.855,0.99627,6
11.0,0.5,37.0,0.52,0.99685,5
9.7,0.73,30.0,0.38,0.9968,7
9.5,0.73,28.0,0.51,0.99768,6
11.4,0.58,38.0,0.44,0.99438,6
9.8,0.58,48.0,0.82,0.9952,5
10.9,0.56,38.0,0.54,0.99699,5
12.4,0.93,35.0,0.36,0.9934,6
9.7,0.59,38.0,0.64,0.9998,5
9.7,0.55,49.0,0.98,0.99705,3
10.3,1.36,57.0,0.29,0.997,6
12.2,0.62,74.0,0.49,0.9953,6
10.6,0.69,24.0,0.4,0.996,6
10.6,1.16,54.0,0.41,0.99572,6
9.8,0.56,91.0,0.6,0.99616,6
12.5,0.61,28.0,0.645,0.99444,6
10.9,0.69,23.0,0.45,0.99974,6
9.4,0.51,108.0,0.61,0.99641,5
9.6,0.56,20.0,0.95,0.9959,5
11.3,0.62,10.0,0.36,0.99568,6
12.2,0.5,12.0,0.8,0.9963,5
14.0,0.74,42.0,0.42,0.99154,7
10.3,0.46,57.0,0.645,0.9969,5
11.8,0.57,43.0,0.715,0.99371,6
12.2,0.64,10.0,0.395,0.99639,7
10.1,0.54,99.0,0.6,0.995,5
9.7,0.67,53.0,0.59,0.9958,5
11.4,0.68,43.0,0.29,0.9986,7
11.9,0.6,50.0,0.25,0.9946,6
10.9,0.61,37.0,0.6,0.99514,6
11.5,0.57,34.0,0.51,0.99396,6
9.2,0.51,65.0,0.575,0.9967,5
10.6,1.02,47.0,0.31,0.9986,7
10.3,0.83,44.0,0.53,0.99489,6
10.0,0.82,20.0,0.22,0.99672,6
9.4,0.56,119.0,0.38,0.997,5
9.4,2.0,69.0,0.52,0.9996,4
10.5,0.63,41.0,0.6,0.9994,6
9.5,0.53,26.0,0.68,0.99783,5
9.3,0.53,120.0,0.57,0.99625,5
11.1,0.7,20.0,0.18,0.9941,5
12.3,0.48,33.0,0.47,0.9922,6
9.9,0.51,141.0,0.69,0.9962,5
9.5,0.57,18.0,0.58,0.9968,7
11.2,0.58,7.0,0.58,0.99454,6
10.1,0.74,25.0,0.4,0.9955,7
9.9,0.7,8.0,0.23,0.9981,6
10.0,0.63,35.0,0.56,0.9968,6
9.5,0.59,86.0,0.775,0.9959,5
10.6,0.6,34.0,0.46,0.9948,6
12.5,0.77,43.0,0.31,0.99444,7
11.0,0.58,33.0,0.64,0.99612,5
9.9,0.49,21.0,0.56,0.99576,5
11.4,0.55,12.0,0.38,0.99605,6
12.1,0.96,45.0,0.51,0.9974,6
9.9,0.81,63.0,0.685,0.9979,5
10.2,0.64,31.0,0.58,0.99484,6
10.0,0.57,35.0,0.52,0.99575,5
12.5,0.59,46.0,0.74,0.99258,6
10.3,0.53,11.0,0.33,0.9958,6
10.4,0.82,68.0,0.37,0.9995,6
9.4,0.62,40.0,0.54,0.9991,5
9.8,0.62,98.0,0.46,0.99578,5
9.4,0.53,64.0,0.82,0.99642,5
9.5,0.56,25.0,0.51,0.9958,6
11.2,0.8,28.0,0.47,0.99516,5
10.8,0.92,67.0,0.32,1.0002,7
9.7,0.74,39.0,0.67,0.99701,5
10.8,0.68,44.0,0.59,0.99522,6
10.0,0.52,94.0,0.68,0.9944,5
10.5,0.61,64.0,0.48,1.0,6
12.2,0.54,11.0,0.43,0.99538,6
9.7,0.59,147.0,0.54,0.99636,5
11.0,0.57,13.0,0.84,0.997,4
9.0,0.53,129.0,0.66,0.9972,5
10.8,0.52,41.0,0.57,0.99518,5
9.2,0.55,67.0,0.39,0.9972,5
11.8,0.49,14.0,0.41,0.99702,7
10.3,0.82,20.0,0.39,0.9992,6
10.4,0.64,65.0,0.65,1.0026,6
9.4,0.58,20.0,0.39,0.9954,5
9.5,0.55,40.0,0.65,0.99803,5
10.0,0.62,28.0,0.86,0.99712,5
10.1,0.97,27.0,0.3,0.9981,6
9.5,0.55,88.0,0.6,0.99745,5
10.5,0.77,47.0,0.4,0.9991,7
10.1,0.6,16.0,0.36,0.9964,6
10.9,0.63,17.0,0.9,0.99467,6
9.9,0.53,124.0,0.735,0.9994,5
9.2,0.52,13.0,0.695,0.998,5
10.0,0.94,52.0,0.72,0.99752,5
9.5,0.79,49.0,0.5,0.99545,5
9.3,0.51,55.0,0.665,0.99655,5
9.5,0.52,51.0,0.68,0.99685,5
9.23333333333333,0.72,65.0,0.84,0.99842,6
9.9,0.52,131.0,0.6,0.99622,5
11.1,0.66,38.0,0.42,0.99622,6
9.2,0.74,54.0,0.51,0.998,5
10.9,0.94,22.0,0.24,0.9974,6
10.9,0.73,55.0,0.36,0.99652,6
9.5,0.6,144.0,0.53,0.99655,5
9.5,0.63,68.0,0.59,0.9992,5
9.8,0.68,67.0,0.88,0.9968,5
9.8,0.66,111.0,0.6,0.9964,5
9.7,0.53,72.0,0.615,1.0001,5
10.0,0.78,47.0,0.42,0.99522,6
12.4,0.62,12.0,0.28,0.99408,7
9.6,0.78,15.0,0.32,0.9994,5
10.9,0.75,60.0,0.635,0.99638,6
11.1,0.68,92.0,0.67,0.99566,6
11.3,0.68,27.0,0.4,0.9988,6
11.4,0.76,13.0,0.52,0.99774,6
9.2,0.42,60.0,0.59,0.99499,5
9.9,0.52,104.0,0.59,0.99584,5
10.2,0.79,13.0,0.28,0.9974,6
10.8,0.53,39.0,0.63,0.99522,6
11.0,0.7,69.0,0.58,0.99633,6
9.8,0.46,19.0,0.53,0.995,5
10.4,0.64,74.0,0.77,0.99865,6
11.2,0.67,28.0,0.48,0.9964,7
10.0,0.66,33.0,0.31,0.9983,6
9.9,0.49,105.0,0.6,0.99613,5
10.9,0.68,22.0,0.765,0.99619,6
11.6,0.65,13.0,0.38,0.99643,7
9.1,0.49,15.0,0.6,0.9988,5
10.5,0.57,43.0,0.41,0.9964,6
10.1,0.62,91.0,0.69,0.9979,5
9.9,0.51,141.0,0.69,0.9962,5
12.4,1.01,53.0,0.29,0.995,7
11.1,0.75,36.0,0.41,0.9949,6
9.5,0.56,115.0,0.63,0.99787,5
10.9,0.69,35.0,0.7,0.99628,5
11.6,1.03,14.0,0.58,0.99476,6
10.0,0.52,28.0,0.58,0.99568,5
11.7,0.62,29.0,0.56,0.99397,7
8.8,0.75,82.0,0.5,1.00242,5
10.2,1.18,60.0,0.89,0.99786,5
10.1,0.69,11.0,0.64,0.9984,7
10.0,0.48,32.0,1.005,0.99604,5
11.7,0.56,17.0,0.53,1.0002,6
10.2,0.49,29.0,0.45,0.9962,6
9.5,0.6,111.0,0.44,0.9982,5
10.8,0.76,66.0,0.47,0.9982,6
10.3,0.6,36.0,0.57,0.99564,6
9.3,0.6,61.0,0.66,0.99572,5
9.5,0.64,116.0,0.43,0.9976,5
12.1,0.59,10.0,0.48,0.99586,7
9.6,0.67,47.0,0.59,0.9988,5
9.5,0.59,64.0,0.745,0.99588,6
9.6,0.72,31.0,0.5,0.99761,6
13.6,0.88,89.0,0.47,0.99182,7
10.4,0.62,47.0,0.41,0.9956,5
13.4,0.66,24.0,0.44,0.997,6
12.9,0.6,106.0,0.6,0.9932,6
11.9,0.53,8.0,0.36,0.99642,6
10.1,0.61,60.0,0.29,0.9971,6
11.8,0.72,51.0,0.37,0.99456,6
9.2,0.65,18.0,0.615,0.9972,5
9.7,0.53,84.0,0.62,0.99746,5
9.7,0.57,86.0,0.66,0.99743,5
12.6,0.77,42.0,0.41,0.9953,7
10.8,0.77,28.0,0.3,0.9994,7
9.5,0.51,26.0,0.37,0.998,5
12.5,0.53,26.0,0.27,0.99531,6
11.8,0.57,43.0,0.715,0.99371,6
11.0,0.65,49.0,0.59,0.9988,6
9.4,0.54,74.0,0.59,0.99738,5
11.0,0.57,32.0,1.04,0.99648,4
9.8,0.59,65.0,0.37,0.99729,5
10.1,0.54,68.0,0.34,0.99586,6
9.4,0.62,40.0,0.54,0.9991,5
10.0,0.6,29.0,0.64,0.9965,6
11.1,0.85,38.0,0.47,0.99518,6
10.4,0.55,13.0,0.66,0.9976,5
11.3,0.56,15.0,0.78,0.997,5
9.8,0.56,10.0,0.9,0.9967,5
9.9,0.57,18.0,0.52,0.99682,6
10.8,0.65,28.0,0.44,0.9981,6
12.0,0.85,76.0,0.44,0.999,7
9.2,0.58,92.0,0.77,0.99892,5
12.1,0.59,10.0,0.48,0.99586,7
12.0,0.73,19.0,0.33,0.99468,7
9.8,0.6,92.0,0.52,0.99745,5
10.3,0.82,24.0,0.32,0.99695,7
9.9,0.55,29.0,1.04,0.9959,6
9.2,1.34,45.0,0.46,0.99702,5
10.5,0.83,87.0,0.45,0.9978,5
12.7,0.44,109.0,0.18,0.99007,6
12.2,0.62,106.0,0.48,0.9927,7
13.3,0.99,24.0,0.625,0.9988,6
10.6,0.86,49.0,0.52,0.9976,7
10.4,0.76,20.0,0.38,0.9996,6
10.0,0.8,43.0,0.415,1.0014,6
9.7,0.57,75.0,0.45,0.9987,5
11.8,0.71,19.0,0.32,0.99434,7
11.6,0.66,9.0,0.34,0.99738,7
11.0,0.58,14.0,0.845,0.9967,4
9.8,0.53,38.0,0.6,0.99616,5
10.5,1.18,105.0,0.54,0.99725,6
10.0,0.9,33.0,0.25,0.9982,6
10.9,0.39,11.0,0.725,0.9962,5
9.2,0.88,145.0,0.62,0.9986,5
11.0,0.81,47.0,0.35,0.99599,6
11.8,0.57,10.0,0.74,0.99418,6
13.4,0.9,27.0,0.4,0.995,7
10.8,0.7,60.0,0.42,0.9979,6
9.7,0.49,26.0,0.705,0.9976,5
9.6,0.42,35.0,0.655,0.99738,5
11.0,0.57,49.0,0.625,0.9962,5
9.6,0.54,130.0,0.64,0.99818,5
11.4,0.73,8.0,0.32,0.99534,6
10.0,0.5,69.0,0.61,0.99787,6
10.3,0.64,58.0,0.43,0.9974,5
9.5,0.54,45.0,0.66,0.9976,5
9.5,0.64,27.0,0.5,1.0001,5
12.6,0.75,28.0,0.38,0.99486,7
9.5,0.54,81.0,0.715,0.99688,6
9.7,0.55,25.0,0.655,0.99606,5
13.4,0.69,19.0,0.62,0.9988,8
11.2,0.76,51.0,0.55,0.99512,6
10.8,0.71,38.0,0.45,0.99818,5
10.1,0.97,23.0,0.18,0.9996,6
10.1,0.62,41.0,0.6,0.99697,6
9.3,1.03,145.0,0.37,0.9975,5
9.2,1.08,20.0,0.68,0.9965,4
12.7,0.49,58.0,0.865,0.995,6
10.8,0.47,38.0,0.26,0.9949,6
9.4,0.67,23.0,0.64,0.997,6
9.6,0.53,15.0,0.725,0.99508,5
10.5,0.69,70.0,0.43,0.99798,6
11.4,0.57,19.0,0.6,0.9994,5
10.1,0.9,89.0,0.57,0.9963,5
11.9,0.53,8.0,0.36,0.99642,6
10.4,0.6,43.0,0.83,0.99822,6
10.6,0.73,19.0,0.47,0.9963,6
12.4,0.66,25.0,0.48,0.9936,6
10.8,0.77,28.0,0.3,0.9994,7
9.2,0.55,50.0,0.32,0.9957,5
10.0,0.46,16.0,1.0,0.99586,5
10.2,0.63,62.0,0.59,0.9994,6
11.0,0.78,17.0,0.32,0.99732,7
10.2,0.52,14.0,0.875,0.99808,3
12.5,0.67,50.0,0.58,0.99467,6
12.5,0.59,33.0,0.49,0.99292,6
9.9,1.95,136.0,0.49,0.9972,6
9.8,0.48,63.0,0.83,0.99652,4
10.7,0.58,43.0,0.59,0.9955,6
12.7,0.68,47.0,0.47,1.0021,6
10.4,0.37,8.0,0.61,0.99396,4
10.3,0.6,48.0,0.765,0.99612,6
10.9,0.71,24.0,0.38,0.99925,6
9.1,1.56,29.0,0.61,0.9974,5
11.0,0.65,53.0,0.35,0.9962,6
10.0,0.47,23.0,0.915,0.9962,4
9.6,0.54,42.0,0.66,0.9972,6
12.1,0.61,29.0,0.53,0.99323,6
10.2,0.52,101.0,0.64,0.9956,5
12.1,0.77,34.0,0.42,0.99736,7
9.4,0.53,60.0,0.22,0.9968,6
10.1,0.63,20.0,0.67,0.9972,5
10.6,0.72,25.0,0.27,0.99814,6
11.4,0.68,63.0,0.58,0.99544,6
10.1,0.67,59.0,0.29,0.99714,6
11.1,0.77,24.0,0.61,0.99376,6
11.4,0.87,19.0,0.43,0.996,6
9.2,0.61,110.0,0.54,0.9982,5
11.0,0.6,23.0,0.855,0.99627,6
9.1,0.6,40.0,0.65,0.997,5
11.1,0.58,51.0,0.37,0.99613,6
9.5,0.55,144.0,0.49,0.9968,5
9.4,0.52,72.0,0.41,0.997,5
10.8,0.62,19.0,0.38,0.9986,6
11.5,0.63,16.0,0.74,0.99508,6
9.5,0.61,43.0,0.42,0.9978,5
9.5,0.59,70.0,0.38,0.99685,6
9.4,0.89,24.0,0.28,0.9982,6
10.9,0.73,55.0,0.36,0.99652,6
9.4,0.48,68.0,0.33,0.99782,5
10.5,0.53,21.0,0.35,0.9986,5
9.7,0.65,71.0,0.39,0.9982,5
9.5,0.45,26.0,0.5,0.99448,5
9.0,0.57,47.0,0.58,1.0008,3
10.9,0.7,119.0,0.64,0.99538,5
9.4,0.91,27.0,0.54,0.9987,6
10.4,0.67,23.0,0.21,0.99648,5
11.3,0.56,29.0,0.27,0.99488,6
9.7,0.76,37.0,0.63,0.9979,6
12.8,0.7,10.0,0.28,0.99356,7
11.1,0.54,39.0,0.915,0.99577,5
9.25,0.72,65.0,0.84,0.99842,6
9.8,0.75,14.0,0.39,0.9982,6
9.6,0.54,32.0,0.72,0.99668,5
9.7,0.43,25.0,0.39,0.99581,6
9.4,0.66,134.0,0.745,0.9968,5
10.6,0.57,46.0,0.56,0.99522,5
11.2,0.65,29.0,0.4,0.99674,6
9.55,0.65,11.0,0.675,0.99745,5
9.6,0.64,31.0,0.49,0.9966,5
10.3,0.57,9.0,0.58,0.99719,4
12.5,0.66,41.0,0.36,0.998,6
9.6,0.46,24.0,0.73,0.99798,4
11.5,0.72,51.0,0.5,0.9982,6
10.9,0.6,56.0,0.55,0.9962,6
12.2,0.62,53.0,0.39,0.99294,6
10.5,0.5,20.0,0.4,0.99772,5
10.4,0.63,10.0,0.6,0.9977,6
10.9,0.75,60.0,0.635,0.99638,6
9.5,0.54,85.0,0.62,0.99746,5
11.9,0.8,15.0,0.2,0.99458,7
13.5,0.54,11.0,0.29,0.9915,6
